,lat,long,total_bikes
0,43.665846,-79.404998,18
0,43.6461,-79.3895,12
0,43.671349,-79.29451,11
0,43.667208,-79.312315,15
0,43.669328,-79.288949,19
0,43.672571,-79.289,15
0,43.638497,-79.39192,19
0,43.662771,-79.315223,15
0,43.66852,-79.363525,11
0,43.652473,-79.401456,15
0,43.643975,-79.419576,23
0,43.651318,-79.36023,19
0,43.656094,-79.381484,15
0,43.670318,-79.405181,9
0,43.676667,-79.416111,27
0,43.640634,-79.435841,23
0,43.639444,-79.423611,15
0,43.67,-79.42083333333333,11
0,43.671389,-79.416389,15
0,43.68,-79.42500000000001,19
0,43.6394444,-79.42527777777778,15
0,43.675791,-79.40698,15
0,43.675556,-79.410278,15
0,43.674444,-79.414722,14
0,43.671513,-79.408317,15
0,43.6783213,-79.35822,19
0,43.6848652,-79.356602,23
0,43.68395,-79.347046,19
0,43.690537,-79.341307,19
0,43.704461,-79.423122,15
0,43.659195,-79.329196,19
0,43.651885,-79.3649,17
0,43.682645,-79.377557,23
0,43.6475,-79.43305555555555,15
0,43.6494896,-79.393535,7
0,43.671526,-79.44874,19
0,43.6451635,-79.3831757,18
0,43.6452972,-79.3827914,19
0,43.6452091,-79.3960744,19
0,43.6555556,-79.43361111111112,19
0,43.678077,-79.390328,17
0,43.645665,-79.415345,19
0,43.6493472,-79.42668,8
0,43.667266,-79.443946,16
0,43.660207,-79.361275,27
0,43.648655,-79.367061,27
0,43.648711,-79.389728,31
0,43.6605603,-79.3437663,15
0,43.6561111,-79.36138888888888,15
0,43.652219,-79.354455,39
0,43.650279,-79.356832,15
0,43.652686,-79.358395,15
0,43.649147,-79.395504,11
0,43.643795,-79.375413,39
0,43.662085,-79.397735,17
0,43.659575,-79.365769,15
0,43.65205,-79.362198,19
0,43.668456,-79.393899,19
0,43.639052,-79.399792,20
0,43.6448617,-79.42822,16
0,43.6563888888889,-79.4091666666667,19
0,43.6409,-79.432837,19
0,43.6430555555556,-79.4275,23
0,43.660414,-79.415646,15
0,43.661975,-79.407896,11
0,43.65905,-79.422988,11
0,43.66,-79.4088888888889,11
0,43.690564,-79.326319,23
0,43.686829,-79.311073,20
0,43.688325,-79.300463,15
0,43.65716,-79.46478,27
0,43.6525077,-79.4654233,23
0,43.6772,-79.35858,15
0,43.662712,-79.379903,19
0,43.658938,-79.383518,25
0,43.683378,-79.322961,15
0,43.6425636,-79.3762,15
0,43.6521,-79.4486,12
0,43.669969,-79.386532,14
0,43.633473,-79.425679,16
0,43.630254,-79.420317,35
0,43.662403,-79.423098,34
0,43.656945,-79.424911,17
0,43.6817346,-79.4184725,19
0,43.683296,-79.418734,19
0,43.673831,-79.281455,18
0,43.666325,-79.3014,23
0,43.651145,-79.423742,12
0,43.654905,-79.398448,20
0,43.651118,-79.369411,23
0,43.6571,-79.4056,11
0,43.650033,-79.396555,33
0,43.652823,-79.393388,31
0,43.665527,-79.387499,15
0,43.6582,-79.3768,31
0,43.671172,-79.354704,15
0,43.677076,-79.35667,14
0,43.680223,-79.344062,15
0,43.678401,-79.346289,17
0,43.681991,-79.329455,19
0,43.6422222,-79.41111111111111,15
0,43.663808,-79.410491,19
0,43.6666667,-79.41166666666668,23
0,43.6638889,-79.41888888888889,19
