,lat,long,total_bikes,restaurant_name,distance,rating,location
83,43.662771,-79.315223,15.0,The Library Specialty Coffee,2348,8.9,281 Dundas St W
84,43.66852,-79.363525,11.0,HotBlack Coffee,2792,9.0,245 Queen St W
85,43.652473,-79.401456,15.0,Pai,3063,9.2,18 Duncan St
86,43.643975,-79.419576,23.0,Hair of the Dog,1589,8.5,425 Church St
87,43.651318,-79.36023,19.0,Neo Coffee Bar,3173,9.0,161 Frederick St
88,43.656094,-79.381484,15.0,The Keg Steakhouse + Bar,2859,8.8,165 York St
89,43.670318,-79.405181,9.0,Tim Hortons,1904,8.5,70 Gerrard St W
90,43.676667,-79.416111,27.0,The Keg Steakhouse & Bar,1709,8.9,515 Jarvis St
91,43.640634,-79.435841,23.0,Eataly,841,8.4,55 Bloor St W
92,43.639444,-79.423611,15.0,The Library Specialty Coffee,2327,8.9,281 Dundas St W
93,43.67,-79.42083333333333,11.0,House on Parliament,2609,8.9,454 Parliament St
94,43.671389,-79.416389,15.0,HotBlack Coffee,2804,9.0,245 Queen St W
95,43.68,-79.42500000000001,19.0,Pai,3070,9.2,18 Duncan St
96,43.6394444,-79.42527777777778,15.0,Sneaky Dee's,2254,8.6,431 College St
97,43.675791,-79.40698,15.0,Hair of the Dog,1899,8.5,425 Church St
98,43.675556,-79.410278,15.0,The Keg Steakhouse + Bar,2945,8.8,165 York St
99,43.674444,-79.414722,14.0,Neo Coffee Bar,3464,9.0,161 Frederick St
100,43.671513,-79.408317,15.0,The Keg Steakhouse & Bar,955,8.9,515 Jarvis St
101,43.6783213,-79.35822,19.0,Eataly,254,8.4,55 Bloor St W
102,43.6848652,-79.356602,23.0,House on Parliament,1848,8.9,454 Parliament St
103,43.68395,-79.347046,19.0,The Library Specialty Coffee,1964,8.9,281 Dundas St W
104,43.690537,-79.341307,19.0,HotBlack Coffee,2399,9.0,245 Queen St W
105,43.704461,-79.423122,15.0,Pai,2670,9.2,18 Duncan St
106,43.659195,-79.329196,19.0,Hair of the Dog,1204,8.5,425 Church St
107,43.651885,-79.3649,17.0,Neo Coffee Bar,2790,9.0,161 Frederick St
108,43.682645,-79.377557,23.0,The Keg Steakhouse + Bar,2457,8.8,165 York St
109,43.6475,-79.43305555555555,15.0,Tim Hortons,1501,8.5,70 Gerrard St W
110,43.6494896,-79.393535,7.0,Boxcar Social,449,8.9,4 Boulton Ave
111,43.671526,-79.44874,19.0,Te Aro,1013,8.9,983 Queen St E
112,43.6451635,-79.3831757,18.0,House on Parliament,1354,8.9,454 Parliament St
113,43.6452972,-79.3827914,19.0,Neo Coffee Bar,1951,9.0,161 Frederick St
114,43.6452091,-79.3960744,19.0,The Keg Steakhouse & Bar,2240,8.9,515 Jarvis St
115,43.6555556,-79.43361111111112,19.0,Cluny Bistro,1418,8.5,35 Tank House Lane
116,43.678077,-79.390328,17.0,Sukho Thai,2435,8.7,52 Wellington St E
117,43.645665,-79.415345,19.0,The Keg Steakhouse + Bar,2577,8.7,26 the Esplanade
118,43.6493472,-79.42668,8.0,Pai,3413,9.2,18 Duncan St
119,43.667266,-79.443946,16.0,Chotto Matte,2840,8.8,161 Bay St
120,43.660207,-79.361275,27.0,Chotto Matte,75,8.8,161 Bay St
121,43.648655,-79.367061,27.0,Pai,876,9.2,18 Duncan St
122,43.648711,-79.389728,31.0,Walrus Pub & Beer Hall,185,8.7,187 Bay St
123,43.6605603,-79.3437663,15.0,The Keg Steakhouse + Bar,264,8.7,26 the Esplanade
124,43.6561111,-79.36138888888888,15.0,Neo Coffee Bar,863,9.0,161 Frederick St
125,43.652219,-79.354455,39.0,Sukho Thai,378,8.7,52 Wellington St E
126,43.650279,-79.356832,15.0,HotBlack Coffee,980,9.0,245 Queen St W
127,43.652686,-79.358395,15.0,The Keg Steakhouse + Bar,652,8.8,165 York St
128,43.649147,-79.395504,11.0,Cafe Landwer,662,8.7,165 University Ave
129,43.643795,-79.375413,39.0,Cactus Club Cafe,482,8.5,77 Adelaide St W
130,43.662085,-79.397735,17.0,House on Parliament,750,8.9,454 Parliament St
131,43.659575,-79.365769,15.0,Neo Coffee Bar,1710,9.0,161 Frederick St
132,43.65205,-79.362198,19.0,Te Aro,1630,8.9,983 Queen St E
133,43.668456,-79.393899,19.0,The Keg Steakhouse & Bar,1618,8.9,515 Jarvis St
134,43.639052,-79.399792,20.0,Sukho Thai,2150,8.7,52 Wellington St E
135,43.6448617,-79.42822,16.0,Pai,3004,9.2,18 Duncan St
136,43.6563888888889,-79.4091666666667,19.0,HotBlack Coffee,2857,9.0,245 Queen St W
137,43.6409,-79.432837,19.0,Cluny Bistro,1493,8.5,35 Tank House Lane
138,43.6430555555556,-79.4275,23.0,The Keg Steakhouse + Bar,2321,8.7,26 the Esplanade
139,43.660414,-79.415646,15.0,Chotto Matte,2537,8.8,161 Bay St
140,43.661975,-79.407896,11.0,Neo Coffee Bar,852,9.0,161 Frederick St
141,43.65905,-79.422988,11.0,House on Parliament,900,8.9,454 Parliament St
142,43.66,-79.4088888888889,11.0,Pai,1520,9.2,18 Duncan St
143,43.690564,-79.326319,23.0,HotBlack Coffee,1356,9.0,245 Queen St W
144,43.686829,-79.311073,20.0,The Keg Steakhouse & Bar,1092,8.9,515 Jarvis St
145,43.688325,-79.300463,15.0,The Keg Steakhouse + Bar,1104,8.8,165 York St
146,43.65716,-79.46478,27.0,Sukho Thai,975,8.7,52 Wellington St E
147,43.6525077,-79.4654233,23.0,The Library Specialty Coffee,1336,8.9,281 Dundas St W
148,43.6772,-79.35858,15.0,Chotto Matte,1242,8.8,161 Bay St
149,43.662712,-79.379903,19.0,The Keg Steakhouse + Bar,1172,8.7,26 the Esplanade
150,43.658938,-79.383518,25.0,Boxcar Social,842,8.9,4 Boulton Ave
151,43.683378,-79.322961,15.0,Te Aro,843,8.9,983 Queen St E
152,43.6425636,-79.3762,15.0,House on Parliament,1858,8.9,454 Parliament St
153,43.6521,-79.4486,12.0,Neo Coffee Bar,2662,9.0,161 Frederick St
154,43.669969,-79.386532,14.0,The Keg Steakhouse & Bar,2655,8.9,515 Jarvis St
155,43.633473,-79.425679,16.0,Cluny Bistro,2108,8.5,35 Tank House Lane
156,43.630254,-79.420317,35.0,Sukho Thai,3141,8.7,52 Wellington St E
157,43.662403,-79.423098,34.0,Pai,4088,9.2,18 Duncan St
158,43.656945,-79.424911,17.0,The Keg Steakhouse + Bar,3288,8.7,26 the Esplanade
159,43.6817346,-79.4184725,19.0,HotBlack Coffee,3959,9.0,245 Queen St W
160,43.683296,-79.418734,19.0,The Good Neighbour,2709,8.8,238 Annette St
161,43.673831,-79.281455,18.0,Communist's Daughter,3177,8.6,1149 Dundas St W
162,43.666325,-79.3014,23.0,Sneaky Dee's,3342,8.6,431 College St
163,43.651145,-79.423742,12.0,The Library Specialty Coffee,4585,8.9,281 Dundas St W
164,43.654905,-79.398448,20.0,Pai,5121,9.2,18 Duncan St
165,43.651118,-79.369411,23.0,HotBlack Coffee,4966,9.0,245 Queen St W
166,43.6571,-79.4056,11.0,The Keg Steakhouse & Bar,5115,8.9,515 Jarvis St
167,43.650033,-79.396555,33.0,The Keg Steakhouse + Bar,5303,8.8,165 York St
168,43.652823,-79.393388,31.0,Cafe Landwer,5286,8.7,165 University Ave
169,43.665527,-79.387499,15.0,House on Parliament,6002,8.9,454 Parliament St
170,43.6582,-79.3768,31.0,Te Aro,394,8.9,983 Queen St E
171,43.671172,-79.354704,15.0,Boxcar Social,579,8.9,4 Boulton Ave
172,43.677076,-79.35667,14.0,House on Parliament,2319,8.9,454 Parliament St
173,43.680223,-79.344062,15.0,Neo Coffee Bar,2482,9.0,161 Frederick St
174,43.678401,-79.346289,17.0,Cluny Bistro,1649,8.5,35 Tank House Lane
175,43.681991,-79.329455,19.0,Sukho Thai,2966,8.7,52 Wellington St E
176,43.6422222,-79.41111111111111,15.0,The Keg Steakhouse & Bar,3223,8.9,515 Jarvis St
177,43.663808,-79.410491,19.0,The Keg Steakhouse + Bar,3058,8.7,26 the Esplanade
178,43.6666667,-79.41166666666668,23.0,Chotto Matte,3365,8.8,161 Bay St
179,43.6638889,-79.41888888888889,19.0,Pai,4057,9.2,18 Duncan St
180,43.661705,-79.425734,11.0,Te Aro,999,8.9,983 Queen St E
181,43.6686111,-79.42027777777778,19.0,Boxcar Social,1645,8.9,4 Boulton Ave
182,43.665327,-79.43235,19.0,House on Parliament,3119,8.9,454 Parliament St
183,43.657343,-79.43112,19.0,Neo Coffee Bar,3705,9.0,161 Frederick St
184,43.645324,-79.40345,25.0,The Keg Steakhouse & Bar,3931,8.9,515 Jarvis St
185,43.650256,-79.36163,15.0,Cluny Bistro,2957,8.5,35 Tank House Lane
186,43.65111111111111,-79.4213888888889,19.0,Sukho Thai,4196,8.7,52 Wellington St E
187,43.656296,-79.414663,15.0,Pai,5228,9.2,18 Duncan St
188,43.649722,-79.416944,23.0,The Keg Steakhouse + Bar,4313,8.7,26 the Esplanade
189,43.651281,-79.411717,13.0,Chotto Matte,4603,8.8,161 Bay St
190,43.65277778,-79.42972222,15.0,Te Aro,1231,8.9,983 Queen St E
191,43.655,-79.418889,19.0,Boxcar Social,1574,8.9,4 Boulton Ave
192,43.668553,-79.338673,19.0,House on Parliament,2572,8.9,454 Parliament St
193,43.663912,-79.327987,19.0,Neo Coffee Bar,3471,9.0,161 Frederick St
194,43.6462176,-79.3855048,15.0,The Keg Steakhouse & Bar,3280,8.9,515 Jarvis St
195,43.69595,-79.328535,19.0,Cluny Bistro,2897,8.5,35 Tank House Lane
196,43.6753188,-79.3462789,15.0,Sukho Thai,3950,8.7,52 Wellington St E
197,43.6720273,-79.3470557,11.0,Pai,4878,9.2,18 Duncan St
198,43.637981,-79.424146,19.0,HotBlack Coffee,4737,9.0,245 Queen St W
199,43.640885,-79.416379,11.0,The Keg Steakhouse + Bar,4098,8.7,26 the Esplanade
200,43.6552778,-79.36583333333333,15.0,Te Aro,384,8.9,983 Queen St E
201,43.6712581,-79.376367,15.0,Boxcar Social,968,8.9,4 Boulton Ave
202,43.664524,-79.36793,15.0,House on Parliament,2699,8.9,454 Parliament St
203,43.665867,-79.362506,15.0,Neo Coffee Bar,2924,9.0,161 Frederick St
204,43.648575,-79.380042,19.0,Cluny Bistro,2084,8.5,35 Tank House Lane
205,43.643473,-79.390477,15.0,The Keg Steakhouse & Bar,3593,8.9,515 Jarvis St
206,43.645859,-79.38783,27.0,Sukho Thai,3407,8.7,52 Wellington St E
